djdi,8,6,8,3,9,4
afjj,5,7,6,7,8,7
bafi,7,1,5,3,4,5
fjga,1,9,3,7,1,3
eeie,6,1,9,1,3,4
cbja,4,3,1,2,3,4
bdga,6,2,2,2,4,8
hcai,2,3,7,4,4,5
gfcf,2,5,3,5,6,6
fbbf,8,2,6,6,2,5
hced,4,3,2,1,1,9
cdjb,2,3,3,9,4,9
gdda,4,3,1,3,4,5
jich,3,5,7,9,3,7
bgaj,2,9,9,1,3,2
eeff,1,7,9,1,3,8
ihii,9,7,6,2,8,9
eada,7,5,9,2,5,3
iafa,5,1,9,3,8,5
efee,2,4,5,1,5,6
ccfa,9,6,4,1,5,8
jfhc,9,8,6,1,8,8
abjh,5,5,4,4,2,2
dgdb,3,6,3,7,6,2
igbi,8,1,6,5,7,6
gifa,1,3,8,8,6,7
hagf,8,1,7,9,5,8
ifih,5,1,2,8,1,8
fhjj,5,5,7,4,1,6
jeei,1,2,4,3,6,3
iihh,9,9,8,1,7,1
jbih,1,3,1,4,1,1
acgd,5,6,3,2,6,6
fejc,5,1,8,1,4,1
ajie,3,3,1,8,1,6
ddjd,8,8,6,6,6,4
fbfa,1,7,3,8,5,4
gade,6,5,7,2,2,4
gjba,7,6,5,8,6,7
efbf,4,9,5,6,3,2
egae,1,7,3,2,3,2
hbfe,8,5,5,2,5,6
hedi,8,8,9,8,8,2
fegd,8,1,9,8,1,1
chih,2,9,6,6,8,2
ddha,6,5,1,4,1,5
hecb,7,8,5,8,7,3
bhgc,2,8,9,8,6,7
dgid,9,3,2,2,8,5
abia,4,1,2,7,3,4
ciic,6,6,7,5,2,1
aebc,4,1,8,1,4,7
gffe,2,8,5,6,7,1
edjf,2,5,5,8,4,1
ghdc,9,9,1,7,7,5
aeha,6,1,6,1,1,2
ehhe,4,7,7,1,9,1
heaj,4,3,2,1,5,1
iehf,6,4,1,9,8,8
iagh,5,6,8,9,5,6
hfif,7,2,6,2,2,5
cffh,5,6,1,8,8,2
ajcg,5,6,4,5,4,4
hbei,5,1,5,5,4,6
dbbb,7,1,5,4,5,3
bcbd,5,6,3,2,6,7
hieg,3,1,2,7,8,6
fdbg,7,4,2,5,6,8
babc,5,2,4,4,4,6
eaic,5,7,7,1,7,3
gfei,9,3,2,2,9,9
dffj,8,2,6,8,3,7
haec,2,2,1,7,4,5
cgeg,8,6,2,6,8,5
