iffj,4,4,8,9,2,3
edaj,2,4,3,2,4,5
aedg,6,2,4,4,4,2
gjfh,3,5,2,4,3,6
ejeh,2,2,9,2,3,4
acge,5,4,4,6,1,5
jjji,9,1,4,8,5,3
gfdc,1,3,6,2,6,8
cgfd,9,2,1,9,9,3
iceg,4,4,4,7,9,1
acbc,3,5,1,6,1,9
acfi,6,6,4,3,1,2
affe,5,8,8,8,3,6
ggbf,8,5,1,3,4,9
ghae,8,5,4,6,5,2
bieg,9,6,6,9,1,8
bebf,5,9,5,5,7,8
aeii,2,9,3,9,1,9
dchg,6,3,2,2,1,9
cjjf,4,3,2,1,1,8
aeec,6,1,6,4,1,2
gief,1,7,8,3,9,5
hjhb,3,2,8,9,1,3
bdja,1,3,9,4,5,4
fffd,5,5,8,7,7,6
hbff,5,5,1,7,9,5
ifje,8,3,2,2,4,4
bdff,8,4,4,3,7,6
ecja,3,5,3,2,6,5
hcdi,7,5,2,2,3,1
dghi,2,2,5,8,9,5
agai,3,3,6,5,2,7
biaa,4,1,3,2,7,9
fcjc,1,5,2,9,4,2
eehj,8,6,5,6,6,4
dfca,9,4,7,7,7,7
jeie,1,2,4,4,2,6
ceeg,7,7,5,8,9,3
geij,4,8,9,2,4,6
dfjf,1,8,9,8,6,9
badg,3,3,3,6,8,4
ddje,6,5,2,8,1,4
ifii,3,1,1,3,4,6
fjad,4,9,9,8,2,3
behd,4,3,9,1,5,1
cfcj,4,3,2,3,3,3
gfhi,4,3,5,9,4,7
ggdi,2,4,6,3,1,7
ihhc,3,5,3,1,7,7
aibf,7,4,2,8,3,1
bdgb,3,9,4,9,3,1
befa,3,1,2,2,3,3
fach,6,5,2,9,5,5
dfij,5,6,9,2,7,2
fjff,3,8,5,2,3,9
jdjf,6,6,1,1,9,6
afdb,9,7,2,8,3,9
gedh,4,4,9,6,8,8
hibi,3,7,8,6,1,2
daib,6,2,3,3,1,5
hieh,1,4,1,8,9,6
fbef,6,4,3,3,6,5
dbge,4,3,3,9,9,8
dcic,2,8,7,8,7,2
fedf,2,3,8,2,3,9
gcbd,4,3,8,3,9,6
ihjf,1,9,2,1,7,7
bahb,2,6,3,8,7,1
eieb,2,9,5,8,8,9
eeif,7,6,1,9,3,4
jigd,7,9,3,8,9,4
ajdd,7,4,9,8,8,6
hehe,8,1,2,5,7,3
ajif,2,1,2,6,2,2
fcbb,4,9,3,1,8,8
ejjj,2,3,5,9,2,7
