hfii,7,2,3,7,6,3
fbjj,3,6,1,9,6,2
fbfd,1,6,3,2,9,6
gfaf,6,3,8,7,7,8
aahb,6,8,7,3,3,1
eihc,4,7,6,7,5,7
eica,8,3,8,7,8,2
hffj,3,2,5,4,7,1
jgdf,1,1,4,8,2,1
fdac,4,4,1,6,1,2
hjfa,7,6,2,7,5,3
bahd,2,7,4,8,2,5
jjga,2,1,9,5,4,7
agfb,8,7,3,2,4,5
ffdc,3,5,4,4,8,8
cafc,3,3,7,1,8,8
bhje,2,9,9,5,5,4
adhi,4,3,1,4,8,5
hiad,5,6,7,4,7,1
fadf,7,8,7,6,3,4
ccic,7,8,2,1,9,7
fhfg,9,7,7,7,5,9
jjbj,1,9,1,1,6,6
ieie,1,5,8,1,7,3
bdjc,1,1,9,4,1,6
hdge,1,2,3,6,6,8
ggaa,3,5,8,4,3,6
ebjh,2,7,4,6,5,3
aaii,8,3,7,6,8,4
aejg,6,9,7,4,1,4
gjfj,6,4,6,7,1,1
gdgc,2,9,7,5,3,7
cbcj,1,5,2,3,3,5
hdfi,5,3,1,4,7,7
abga,3,5,6,2,5,5
jede,5,1,3,8,5,9
cddg,9,2,6,2,7,2
hiie,7,4,4,7,1,8
biga,9,8,4,2,5,2
gdch,4,1,3,1,4,2
jahi,6,1,2,4,8,1
ffad,1,5,9,6,2,6
jhjj,7,9,9,9,5,5
hfec,6,8,5,8,1,9
cfhc,9,7,3,4,4,7
gadh,8,2,9,7,2,2
fghd,7,4,8,6,2,8
jifj,2,5,8,4,3,1
ihjh,9,1,4,1,6,3
dfia,2,3,7,6,6,5
gijj,5,2,9,3,5,8
iace,9,6,6,7,1,4
ijji,4,5,5,3,3,9
ided,5,4,5,1,9,9
hdih,7,4,9,2,9,1
daid,9,1,6,7,4,8
bjca,8,7,3,6,6,6
hbci,3,8,8,5,2,4
ecig,2,6,2,4,2,9
djce,9,5,9,4,8,1
aieg,2,4,1,1,6,6
egec,4,5,5,5,9,7
ibgf,7,8,5,5,9,1
aehd,3,1,6,3,4,5
aafj,5,7,6,4,6,4
edfc,3,8,1,9,8,6
fgfa,7,2,6,4,8,8
acjf,5,4,1,1,4,4
fchb,4,1,3,9,6,3
gccb,3,2,2,5,9,7
igif,6,8,5,7,7,8
iajj,2,5,9,6,2,5
acai,9,8,8,3,6,4
biac,8,1,2,9,4,5
hihi,8,5,5,2,9,6
gabe,4,1,4,4,2,3
iide,8,2,4,8,8,5
dafe,9,8,8,9,8,7
jadc,3,7,5,2,9,7
heda,2,2,8,5,9,2
hjdi,6,6,3,9,4,6
ecfh,4,8,8,3,6,5
fhhj,9,2,5,5,7,9
adie,5,1,1,7,7,3
gibi,9,4,8,9,5,9
dige,4,7,9,2,5,4
fgcb,4,6,6,4,9,3
ejgb,3,8,2,1,2,4
hbbb,9,4,7,5,8,7
bajg,1,5,9,1,6,6
iiea,9,9,1,3,2,3
jdia,5,7,3,5,6,5
cagj,1,3,8,4,9,6
jcgc,6,3,4,1,2,7
bghg,1,7,4,2,3,1
bjbe,5,3,6,3,7,7
cacd,6,5,4,9,5,1
eefi,4,3,4,1,6,3
hhbe,5,4,2,2,1,4
bihh,7,4,3,4,2,4
hajh,5,9,4,2,9,4
dcff,1,1,4,7,5,6
jdcc,3,6,1,1,9,9
cebj,7,2,7,6,7,2
edcd,3,5,5,4,4,7
cifg,3,4,1,5,6,5
hicg,8,1,1,1,6,6
djda,3,9,2,9,4,8
ihgi,3,4,2,9,6,6
ijib,2,6,9,9,3,9
bbjb,5,4,3,2,9,6
jigf,8,9,4,1,2,4
cigc,8,9,1,9,4,8
jhfd,9,9,2,1,7,9
biei,7,3,2,4,9,3
ajih,2,5,6,7,9,4
agdj,5,3,2,7,4,6
gbgb,2,6,7,4,4,6
ajjd,4,5,2,3,2,7
hafb,2,6,3,7,1,2
dejb,9,7,8,1,5,6
chhd,9,8,8,5,8,7
faeb,9,3,6,1,5,6
gfea,9,9,1,2,7,8
jgeb,8,2,2,9,8,7
dfbg,5,1,9,6,8,2
gfde,1,1,4,9,2,7
ahig,1,3,6,2,3,7
djeh,6,8,7,5,3,5
ahfh,3,1,3,8,5,8
dfdj,6,6,9,1,7,9
dacf,6,5,5,5,7,8
gjii,7,3,7,6,4,4
gcfa,8,1,6,1,8,7
cgie,1,6,7,4,7,3
gggj,9,1,5,7,3,9
ghag,7,4,9,8,2,2
gaai,1,1,8,6,4,5
ciae,5,7,6,8,3,9
addc,1,6,2,9,8,4
dhbh,4,9,8,3,8,8
jiah,2,2,7,2,4,2
dhaa,3,6,3,5,8,5
jjac,4,9,5,3,1,8
fhjb,8,6,9,3,8,3
jbbf,6,6,3,7,6,7
dbhc,5,6,8,4,8,9
each,5,5,4,5,6,7
bcef,4,4,5,8,8,4
icei,3,8,2,3,5,2
djjj,5,7,6,2,2,7
fjbb,1,2,1,4,4,2
hghh,7,7,6,6,5,6
behf,1,8,8,7,7,7
dcie,5,2,6,9,5,9
acgg,4,7,3,1,2,1
fcdg,6,8,8,7,2,2
cjia,8,8,8,6,1,8
egah,7,6,4,6,6,8
dfgi,4,5,1,6,2,5
ebhe,8,3,3,1,8,3
hdha,4,7,1,6,3,6
jbcb,1,4,5,2,1,7
cdbd,9,9,4,6,6,4
jaff,3,9,6,6,6,9
cbag,8,4,9,9,5,2
hjcb,8,3,4,8,9,4
cahf,5,1,8,4,8,7
agia,7,5,6,7,4,6
aicd,8,9,8,9,2,1
babf,7,3,1,2,1,5
jgcj,7,9,9,4,3,2
iiig,3,5,1,2,5,6
hcfc,6,5,2,8,5,8
gaed,8,2,9,7,4,3
eeag,9,5,8,4,8,6
cefe,7,4,6,5,5,3
bgbi,6,3,6,1,8,7
gfjc,9,7,3,9,1,6
caeg,8,3,5,5,8,4
begj,7,6,2,8,8,2
iecg,9,8,6,3,3,5
gecc,9,3,2,6,7,6
ghjd,6,1,9,3,8,3
ehfe,1,1,6,1,1,4
haef,7,2,2,5,7,7
fgjg,7,4,8,8,2,5
ahde,1,8,3,7,6,3
bbch,4,4,1,2,7,4
fcbd,6,4,4,7,7,9
dgbb,7,2,2,1,4,6
hbgd,2,4,9,5,4,9
icbj,2,4,5,1,9,4
bcfb,4,3,3,1,7,1
hfbd,9,4,7,4,7,5
fgbf,3,7,7,6,2,2
gjje,3,7,1,5,3,2
eahj,4,8,6,8,4,2
agcc,7,8,3,3,4,1
dbdh,4,9,3,3,8,4
afae,6,6,7,3,4,8
dhhf,5,2,8,7,4,6
fgaj,6,7,4,8,2,3
gbja,9,8,8,1,8,1
bfbc,6,8,3,9,7,2
bcgi,9,7,3,3,5,1
aedi,9,7,1,4,5,6
ifhd,5,6,3,1,8,2
ajbc,5,6,8,1,6,7
hhca,9,3,6,7,5,7
dcja,5,6,1,4,5,1
ecea,4,6,4,8,6,1
cich,9,5,1,2,3,5
ceac,3,1,9,6,1,7
djbi,5,4,5,1,5,6
jhda,1,8,8,2,4,7
jcjb,4,4,4,3,9,9
dcgb,6,9,3,9,6,8
hdeb,9,3,2,7,7,4
eadd,4,8,2,5,9,4
gjdg,9,7,7,7,4,6
fdbj,9,6,2,7,3,5
hbaf,8,4,1,5,9,2
ibhb,9,6,4,1,5,1
ibdg,3,5,3,9,5,3
cdec,4,6,8,3,5,8
fijh,5,7,2,2,4,4
cgff,9,3,7,9,7,4
gagg,5,6,5,1,8,5
fjfh,5,7,7,3,9,4
hgid,5,3,1,3,6,3
fdcf,2,2,7,6,5,2
ddgh,2,7,8,7,9,6
cjbg,9,7,8,1,2,5
ebef,5,3,9,6,7,8
cfjf,2,5,6,6,7,1
ighj,8,9,1,4,2,8
jgbc,8,1,2,9,6,8
cjcc,5,4,3,2,8,7
ghfi,2,4,3,9,9,3
dggd,2,7,4,8,8,2
effd,7,2,3,3,6,8
iddh,8,9,4,5,2,5
djab,4,9,8,5,8,8
edji,2,1,5,8,3,9
hehg,3,4,7,8,3,4
gihg,2,8,2,2,4,3
hhed,9,7,7,4,4,6
ibii,6,7,5,6,2,6
gifd,4,3,3,6,6,4
gcdi,4,1,3,9,3,3
acca,9,7,3,5,9,9
ehac,7,5,1,2,1,6
giab,9,9,4,5,8,5
ddjg,2,4,5,2,4,8
gbhi,2,4,7,8,4,6
eeih,3,2,6,9,6,1
icdb,1,9,1,5,1,1
fifb,7,7,7,2,3,6
gchd,9,9,1,2,3,1
gdae,4,1,7,4,4,1
bdde,5,5,5,1,6,7
gdhj,7,7,4,6,3,3
bfge,9,7,8,4,1,8
hfdg,7,8,5,7,4,4
hhjf,9,4,8,7,9,1
bfjd,1,9,6,4,9,5
eafg,8,6,2,2,3,8
febe,6,6,5,1,6,8
abhh,7,1,8,4,9,7
